N,EW,"5S,8S,AS,2H,3H,8H,AH,QD,AD,4C,TC,QC,KC","TS,JS,QS,KS,9H,TH,2D,8D,JD,KD,5C,6C,9C","2S,4S,6S,7S,9S,5H,6H,4D,7D,9D,2C,3C,7C","3S,4H,7H,JH,QH,KH,3D,5D,6D,TD,8C,JC,AC","N:2N:Two NT opener. Could have 5M. -- 2-5 !C; 2-5 !D; 2-5 !H; 2-5 !S; 20-2;E:p:Stayman -- 5+ total points ;S:3C:2-5 !C; 2-5 !D; 4-5 !H; 2-4 !S; 20-21 HCP;W:p:3- !H; 4 !S; 5-9 HCP ;N:3H:;E:p:;S:3N:;W:p:;N:p:;E:p:"
N,EW,"5S,8S,AS,2H,3H,8H,AH,QD,AD,4C,TC,QC,KC","TS,JS,QS,KS,9H,TH,2D,8D,JD,KD,5C,6C,9C","2S,4S,6S,7S,9S,5H,6H,4D,7D,9D,2C,3C,7C","3S,4H,7H,JH,QH,KH,3D,5D,6D,TD,8C,JC,AC","N:2N:Two NT opener. Could have 5M. -- 2-5 !C; 2-5 !D; 2-5 !H; 2-5 !S; 20-2;E:p:Stayman -- 5+ total points ;S:3C:2-5 !C; 2-5 !D; 4-5 !H; 2-4 !S; 20-21 HCP;W:p:3- !H; 4 !S; 5-9 HCP ;N:3H:;E:p:;S:3N:;W:p:;N:p:;E:p:"
E,Both,"8S,TS,5H,7H,JH,AH,7D,9D,TD,KD,3C,4C,QC","2S,3S,6S,7S,JS,3H,8H,JD,AD,6C,7C,9C,KC","9S,QS,AS,6H,TH,KH,3D,4D,5D,8D,QD,TC,AC","4S,5S,KS,2H,4H,9H,QH,2D,6D,2C,5C,8C,JC","E:p:Minor suit opening -- 3+ !D; 11-21 HCP; 12-22 total points;S:p:One over one -- 4+ !H; 11- HCP; 6-12 total points ;W:p:2-5 !C; 4-5 !D; 2-3 !H; 2-3 !S; 12-14 HCP;N:1D:;E:p:;S:1H:;W:p:;N:1N:;E:p:;S:p:;W:p:"
E,Both,"8S,TS,5H,7H,JH,AH,7D,9D,TD,KD,3C,4C,QC","2S,3S,6S,7S,JS,3H,8H,JD,AD,6C,7C,9C,KC","9S,QS,AS,6H,TH,KH,3D,4D,5D,8D,QD,TC,AC","4S,5S,KS,2H,4H,9H,QH,2D,6D,2C,5C,8C,JC","E:p:Minor suit opening -- 3+ !D; 11-21 HCP; 12-22 total points;S:p:One over one -- 4+ !H; 11- HCP; 6-12 total points ;W:p:2-5 !C; 4-5 !D; 2-3 !H; 2-3 !S; 12-14 HCP;N:1D:;E:p:;S:1H:;W:p:;N:1N:;E:p:;S:p:;W:p:"
E,Both,"8S,TS,5H,7H,JH,AH,7D,9D,TD,KD,3C,4C,QC","2S,3S,6S,7S,JS,3H,8H,JD,AD,6C,7C,9C,KC","9S,QS,AS,6H,TH,KH,3D,4D,5D,8D,QD,TC,AC","4S,5S,KS,2H,4H,9H,QH,2D,6D,2C,5C,8C,JC","E:p:notrump opener. Could have 5M. -- 2-5 !C; 2-5 !D; 2-5 !H; 2-5 !S; 15-;S:p:;W:p:;N:1N:;E:p:;S:p:;W:p:"
E,Both,"8S,TS,5H,7H,JH,AH,7D,9D,TD,KD,3C,4C,QC","2S,3S,6S,7S,JS,3H,8H,JD,AD,6C,7C,9C,KC","9S,QS,AS,6H,TH,KH,3D,4D,5D,8D,QD,TC,AC","4S,5S,KS,2H,4H,9H,QH,2D,6D,2C,5C,8C,JC","E:p:notrump opener. Could have 5M. -- 2-5 !C; 2-5 !D; 2-5 !H; 2-5 !S; 15-;S:p:;W:p:;N:1N:;E:p:;S:p:;W:p:"
S,NS,"6S,JS,KH,AH,2D,4D,5D,6D,8D,9D,3C,TC,JC","4S,5S,KS,AS,7H,QH,3D,TD,4C,6C,9C,QC,AC","2S,7S,8S,9S,3H,6H,JH,7D,JD,QD,KD,AD,5C","3S,TS,QS,2H,4H,5H,8H,9H,TH,2C,7C,8C,KC","S:p:Minor suit opening -- 3+ !D; 11-21 HCP; 12-22 total points ;W:1D:Takeout double -- 3-5 !C; 2- !D; 3-4 !H; 3-4 !S; 12+ total points;N:d:Free bid; new suit -- 4+ !H; 8+ total points ;E:1H:4+ !D; 3- !H; 4+ !S; 11+ HCP; 12-18 total points ;S:p:Rebid -- 6+ !H; 8-10 total points ;W:1S:4+ !D; 2-3 !H; 4+ !S; 16+ HCP; 17-18 total points ;N:p:;E:2H:;S:p:;W:4H:;N:p:;E:p:;S:p:"
S,NS,"6S,JS,KH,AH,2D,4D,5D,6D,8D,9D,3C,TC,JC","4S,5S,KS,AS,7H,QH,3D,TD,4C,6C,9C,QC,AC","2S,7S,8S,9S,3H,6H,JH,7D,JD,QD,KD,AD,5C","3S,TS,QS,2H,4H,5H,8H,9H,TH,2C,7C,8C,KC","S:p:Minor suit opening -- 3+ !D; 11-21 HCP; 12-22 total points ;W:1D:Takeout double -- 3-5 !C; 2- !D; 3-4 !H; 3-4 !S; 12+ total points;N:d:Free bid; new suit -- 4+ !H; 8+ total points ;E:1H:4+ !D; 3- !H; 4+ !S; 11+ HCP; 12-18 total points ;S:p:Rebid -- 6+ !H; 8-10 total points ;W:1S:4+ !D; 2-3 !H; 4+ !S; 16+ HCP; 17-18 total points ;N:p:;E:2H:;S:p:;W:4H:;N:p:;E:p:;S:p:"
S,NS,"6S,JS,KH,AH,2D,4D,5D,6D,8D,9D,3C,TC,JC","4S,5S,KS,AS,7H,QH,3D,TD,4C,6C,9C,QC,AC","2S,7S,8S,9S,3H,6H,JH,7D,JD,QD,KD,AD,5C","3S,TS,QS,2H,4H,5H,8H,9H,TH,2C,7C,8C,KC","S:p:Minor suit opening -- 3+ !D; 11-21 HCP; 12-22 total points ;W:1D:Two-level overcall -- 5+ !C; 10+ HCP; 11-18 total points;N:2C:3+ !C; 8-10 total points ;E:p:;S:3C:;W:p:;N:p:;E:p:"
W,EW,"3S,4S,5S,TS,JS,9H,TH,9D,3C,4C,9C,JC,QC","2S,2H,QH,KH,2D,3D,4D,5D,KD,2C,7C,TC,KC","8S,9S,QS,AS,4H,5H,7H,8H,JH,7D,TD,6C,8C","6S,7S,KS,3H,6H,AH,6D,8D,JD,QD,AD,5C,AC","W:p:Two NT opener. Could have 5M. -- 2-5 !C; 2-5 !D; 2-5 !H; 2-5 !S; 20-2;N:2N:Stayman -- 5+ total points ;E:p:No major suits -- 2-5 !C; 2-5 !D; 2-3 !H; 2-3 !S; 20-21 HCP;S:3C:Smolen -- 5+ !H; 4 !S; 5+ total points ;W:p:2-5 !C; 2-5 !D; 2 !H; 2-3 !S; 20-21 HCP;N:3D:;E:p:;S:3S:;W:p:;N:3N:;E:p:;S:p:;W:p:"
W,EW,"3S,4S,5S,TS,JS,9H,TH,9D,3C,4C,9C,JC,QC","2S,2H,QH,KH,2D,3D,4D,5D,KD,2C,7C,TC,KC","8S,9S,QS,AS,4H,5H,7H,8H,JH,7D,TD,6C,8C","6S,7S,KS,3H,6H,AH,6D,8D,JD,QD,AD,5C,AC","W:p:Two NT opener. Could have 5M. -- 2-5 !C; 2-5 !D; 2-5 !H; 2-5 !S; 20-2;N:2N:Stayman -- 5+ total points ;E:p:No major suits -- 2-5 !C; 2-5 !D; 2-3 !H; 2-3 !S; 20-21 HCP;S:3C:Smolen -- 5+ !H; 4 !S; 5+ total points ;W:p:2-5 !C; 2-5 !D; 3 !H; 2-3 !S; 20-21 HCP;N:3D:;E:p:;S:3S:;W:p:;N:4H:;E:p:;S:p:;W:p:"
N,Both,"7S,TS,4H,9H,JH,AH,2D,5D,QD,AD,2C,QC,KC","3S,5S,JS,KS,3H,8H,KH,4D,7D,8D,TD,4C,JC","9S,5H,TH,QH,3D,6D,JD,3C,6C,7C,9C,TC,AC","2S,4S,6S,8S,QS,AS,2H,6H,7H,9D,KD,5C,8C","N:1N:notrump opener. Could have 5M. -- 2-5 !C; 2-5 !D; 2-5 !H; 2-5 !S; 15-;E:p:Cappelletti - single suited -- 14- HCP; 10+ total points ;S:p:5- !C; 2-5 !D; 2-5 !H; 2-5 !S; 15-17 HCP; rebiddable !C; !CKQ; 18- to;W:2C!:Balanced hand -- 2-5 !C; 2-5 !D; 2-5 !H; 2-5 !S; 8+ HCP; 20- total points ;N:d:14- HCP; twice rebiddable !S; 10+ total points ;E:r:Takeout double -- 5- !C; 3-5 !D; 3-5 !H; 2 !S; 17- HCP; rebiddable !C;S:p:;W:2S:;N:d:;E:p:;S:p:;W:p:"
N,Both,"7S,TS,4H,9H,JH,AH,2D,5D,QD,AD,2C,QC,KC","3S,5S,JS,KS,3H,8H,KH,4D,7D,8D,TD,4C,JC","9S,5H,TH,QH,3D,6D,JD,3C,6C,7C,9C,TC,AC","2S,4S,6S,8S,QS,AS,2H,6H,7H,9D,KD,5C,8C","N:1N:notrump opener. Could have 5M. -- 2-5 !C; 2-5 !D; 2-5 !H; 2-5 !S; 15-;E:p:Cappelletti - single suited -- 14- HCP; 10+ total points ;S:p:20- total points ;W:2C!:Longest suit -- twice rebiddable !S; 10-13 total points ;N:p:;E:2D:;S:p:;W:2S:;N:p:;E:p:;S:p:"
E,None,"4S,8S,9S,KS,2H,3H,9H,QH,QD,3C,8C,JC,KC","2S,3S,QS,8H,TH,JH,6D,7D,8D,KD,AD,7C,TC","6S,TS,AS,4H,6H,KH,AH,3D,TD,2C,6C,QC,AC","5S,7S,JS,5H,7H,2D,4D,5D,9D,JD,4C,5C,9C","E:p:notrump opener. Could have 5M. -- 2-5 !C; 2-5 !D; 2-5 !H; 2-5 !S; 15-;S:p:;W:p:;N:1N:;E:p:;S:p:;W:p:"
E,None,"4S,8S,9S,KS,2H,3H,9H,QH,QD,3C,8C,JC,KC","2S,3S,QS,8H,TH,JH,6D,7D,8D,KD,AD,7C,TC","6S,TS,AS,4H,6H,KH,AH,3D,TD,2C,6C,QC,AC","5S,7S,JS,5H,7H,2D,4D,5D,9D,JD,4C,5C,9C","E:p:notrump opener. Could have 5M. -- 2-5 !C; 2-5 !D; 2-5 !H; 2-5 !S; 15-;S:p:;W:p:;N:1N:;E:p:;S:p:;W:p:"
E,None,"4S,8S,9S,KS,2H,3H,9H,QH,QD,3C,8C,JC,KC","2S,3S,QS,8H,TH,JH,6D,7D,8D,KD,AD,7C,TC","6S,TS,AS,4H,6H,KH,AH,3D,TD,2C,6C,QC,AC","5S,7S,JS,5H,7H,2D,4D,5D,9D,JD,4C,5C,9C","E:p:notrump opener. Could have 5M. -- 2-5 !C; 2-5 !D; 2-5 !H; 2-5 !S; 15-;S:p:;W:p:;N:1N:;E:p:;S:p:;W:p:"
